scene,listener,sii
S06241,L0072,0.23403705585137394
S06242,L0066,0.37146823750902624
S06242,L0031,0.6182208377961547
S06242,L0068,0.6250061740268937
S06243,L0070,0.48548813451272727
S06243,L0029,0.5210163966160707
S06243,L0041,0.3486994605078812
S06244,L0073,0.49109116620937704
S06244,L0057,0.5277838439977606
S06244,L0083,0.5798972501247598
S06245,L0024,0.5890247322819273
S06245,L0059,0.5457901850863838
S06245,L0074,0.6211955535077102
S06246,L0098,0.5419256723455211
S06246,L0099,0.4741424450212422
S06246,L0014,0.35133792181604595
S06247,L0077,0.5845254234369572
S06247,L0035,0.44246451369832346
S06247,L0049,0.41062780402766264
S06248,L0001,0.43649244787390595
S06248,L0072,0.4260335094453123
S06248,L0097,0.4690493869260574
S06249,L0074,0.5197520942218377
S06249,L0001,0.46822616538143824
S06249,L0036,0.3816036672509897
S06250,L0051,0.5143438928477554
S06250,L0019,0.45801483453273073
S06250,L0098,0.5733140016646028
S06251,L0051,0.4436290144101315
S06251,L0086,0.46572092761074635
S06251,L0095,0.49465200258559067
S06252,L0026,0.36498022481312076
S06252,L0069,0.503768918612362
S06252,L0076,0.33704529179906323
S06253,L0014,0.3220851130452164
S06253,L0080,0.4026449322811143
S06253,L0039,0.33296966733532724
S06254,L0086,0.3777443707742974
S06254,L0066,0.2599331113947775
S06254,L0047,0.41918760731231197
S06255,L0098,0.5947742543243563
S06255,L0003,0.5378472663746479
S06255,L0021,0.4712181332957693
S06256,L0045,0.4789598442081256
S06256,L0008,0.46336657311712337
S06256,L0001,0.4551099453217003
S06257,L0042,0.3673001706385662
S06257,L0065,0.43851337542119495
S06257,L0084,0.4376485472144804
S06258,L0092,0.474707285770647
S06258,L0065,0.47370034144970685
S06258,L0071,0.5327718096726044
S06259,L0017,0.414059815342044
S06259,L0042,0.33147073765331936
S06259,L0059,0.3838504168064269
S06260,L0048,0.4412119613762833
S06260,L0034,0.3639735585799222
S06260,L0094,0.6614387867836872
S06261,L0013,0.6592780858622801
S06261,L0005,0.6373435564110378
S06261,L0012,0.46832166658465274
S06262,L0044,0.3795394031753682
S06262,L0053,0.44001291236933593
S06262,L0085,0.3742565203949835
S06263,L0057,0.5597864674689865
S06263,L0021,0.41868780372403264
S06263,L0084,0.5575856128288808
S06264,L0041,0.41387048520427977
S06264,L0027,0.5128987840366053
S06264,L0011,0.5309461846823716
S06265,L0068,0.4567172954451781
S06265,L0049,0.3968576455021535
S06265,L0048,0.42404720675260904
S06266,L0083,0.47571457066232775
S06266,L0023,0.5057746063344579
S06266,L0091,0.5730050011260316
S06267,L0083,0.42957431716299893
S06267,L0098,0.4833488616329433
S06267,L0035,0.30991559457439255
S06268,L0085,0.5387852441085101
S06268,L0017,0.3633101778491452
S06268,L0067,0.5471823946809647
S06269,L0099,0.46521769454564077
S06269,L0086,0.3979033032057388
S06269,L0066,0.4376267904838187
S06270,L0047,0.468678121876104
S06270,L0049,0.4183810220789276
S06270,L0071,0.569398969356541
S06271,L0062,0.6553892480869489
S06271,L0090,0.6731257625698753
S06271,L0098,0.6765342760253196
S06272,L0023,0.4012509695683575
S06272,L0027,0.3049609989572974
S06272,L0021,0.3318713070552693
S06273,L0021,0.33111321113184744
S06273,L0063,0.34663023268361837
S06273,L0066,0.24493149764639363
S06274,L0093,0.5083719052603769
S06274,L0074,0.4802145153749544
S06274,L0023,0.2822834086160368
